t_sec,force_x,force_y,force_z,torque_x,torque_y,torque_z,imputed,trial_id,smoothed_sigma_s
4.036,3.853978471464616e-69,-5.7116379048573855e-121,-2.592733769923367e-203,1.0701552624841711e-173,3.0267073187414226e+22,2.529975003353744e-169,0,pressure_servo_20250708_145013.db3_export,0.05
4.086,6.354136282724079e-69,-6.958199428165018e-120,5.5555868560892645e-158,2.387839151017781e-174,4.9901967365927365e+22,2.4579010495848745e-182,0,pressure_servo_20250708_145013.db3_export,0.05
4.136,3.853978471464616e-69,-3.1184486326439733e-119,6.768090332247105e-157,1.9600577342538623e-175,3.0267073187414226e+22,1.4907923396716271e-182,0,pressure_servo_20250708_145013.db3_export,0.05
4.186,8.599388335465005e-70,-5.141452592225848e-119,3.033247646909257e-156,6.6842349673662125e-137,6.753496887531983e+21,3.3264073305232035e-183,0,pressure_servo_20250708_145013.db3_export,0.05
4.236,7.0588077968301615e-71,-3.1184486326439733e-119,3.046086573713311e-93,8.143065212186192e-136,5.543607827195675e+20,2.7304814093514636e-184,0,pressure_servo_20250708_145013.db3_export,0.05
4.286,-4.798639164553048e-142,-6.958199428165018e-120,3.710893128804235e-92,3.649468636050497e-135,3.4675078784236314e-107,2.6486199484136526e-214,0,pressure_servo_20250708_145013.db3_export,0.05
4.336,-2.91052177819924e-142,-9.426763716909168e-94,1.6631069176554564e-91,6.01695656700944e-135,7.73705588228607e-108,1.1870291074284837e-213,0,pressure_servo_20250708_145013.db3_export,0.05
4.386,-6.494251904850894e-143,-1.1484149205022458e-92,2.7419997505870776e-91,3.649468636050497e-135,6.350962214504806e-109,1.9570801383575285e-213,0,pressure_servo_20250708_145013.db3_export,0.05
4.436,-5.330806586729376e-144,-5.146838597428072e-92,1.6631069176554564e-91,8.143065212186192e-136,-6.318031791872811e-131,1.1870291074284837e-213,0,pressure_servo_20250708_145013.db3_export,0.05
4.486,-1.955052739788581e-159,-8.485702272440077e-92,3.710893128804235e-92,6.6842349673662125e-137,-2.0617773973493223e-183,2.6486199484136526e-214,0,pressure_servo_20250708_145013.db3_export,0.05
4.536,-1.1857994280369596e-159,-5.146838597428072e-92,3.046086573713311e-93,8.587496295415712e-233,-9.675352370733516e-195,2.1741196482076536e-215,0,pressure_servo_20250708_145013.db3_export,0.05
4.586,2.792299314738075e-115,-1.1484149205022458e-92,1.987865140919156e-129,1.9161294236701561e-233,4.72862179843261e-183,3.954456967624821e-177,0,pressure_servo_20250708_145013.db3_export,0.05
4.636,3.401716953827304e-114,-9.426763716909168e-94,1.3238440197346297e-146,1.5728548110517674e-234,5.760640650185607e-182,5.032813902495529e-139,0,pressure_servo_20250708_145013.db3_export,0.05
4.686,1.5245437692351523e-113,-4.346539362926281e-167,1.0866773453817373e-147,2.7527624709541328e-238,-2.427733366730128e-160,6.131222497249627e-138,0,pressure_servo_20250708_145013.db3_export,0.05
4.736,2.5135477404513435e-113,-1.9479837956620886e-166,2.43504345395121e-134,-5.595183935768229e-160,-2.957584707940425e-159,2.7478232853734507e-137,0,pressure_servo_20250708_145013.db3_export,0.05
4.786,1.7182158850848317e-113,-1.311794285296787e-54,-4.3659779796804153e-60,-6.816329450652156e-159,-1.325497506095812e-158,4.530394698720317e-137,0,pressure_servo_20250708_145013.db3_export,0.05
4.836,2.6995810770781155e-113,-1.598092595831344e-53,-5.318850037002103e-59,-3.054866919881123e-158,-2.1853759329108387e-158,2.7478232853734507e-137,0,pressure_servo_20250708_145013.db3_export,0.05
4.886,1.0602062231544681e-112,-7.162154120125521e-53,-2.3837432077599525e-58,-5.036624069966192e-158,-1.3254975068867311e-158,6.131222497249627e-138,0,pressure_servo_20250708_145013.db3_export,0.05
4.936,1.7433808281690474e-112,-1.180839584188351e-52,-3.930128130520789e-58,-3.054866919881123e-158,-2.957584713386818e-159,5.032813902495529e-139,0,pressure_servo_20250708_145013.db3_export,0.05
4.986,1.0574139238397292e-112,-7.162154120125521e-53,-2.3837432077599525e-58,-6.816329450652156e-159,-2.4277333791093764e-160,1.5270314182003102e-188,0,pressure_servo_20250708_145013.db3_export,0.05
5.036,-4.471544051308407e-67,-1.598092595831344e-53,-5.318850037002103e-59,1.2287227778572243e-126,-1.0160025465538816e-169,-1.107795304042533e-47,0,pressure_servo_20250708_145013.db3_export,0.05
5.086,-5.447455840008422e-66,-1.311794285296787e-54,-4.3659779796804153e-60,1.4968907820624436e-125,2.7655788122260948e-173,-1.349570960119383e-46,0,pressure_servo_20250708_145013.db3_export,0.05
5.136,-2.441380329931501e-65,4.1308989298090295e-56,-2.6263307329791007e-216,6.70859905745905e-125,2.1403629024932457e-173,-6.0483574216126876e-46,0,pressure_servo_20250708_145013.db3_export,0.05
5.186,-4.025155679826962e-65,5.032465126467495e-55,7.7576075326406845e-208,1.106060996263157e-124,7.583756525254343e-174,-9.972055533809821e-46,0,pressure_servo_20250708_145013.db3_export,0.05
5.236,-2.441380329931501e-65,2.2553943954146835e-54,5.7593753666591855e-204,6.70859905745905e-125,1.2490535103614783e-174,-6.0483574216126876e-46,0,pressure_servo_20250708_145013.db3_export,0.05
5.286,-5.447455840008422e-66,3.7185167135380445e-54,4.659365402221443e-131,1.4968907820624436e-125,8.136043898552299e-176,-1.349570960119383e-46,0,pressure_servo_20250708_145013.db3_export,0.05
5.336,-4.471544051308407e-67,2.2553943954146835e-54,5.676269087327346e-130,1.2287227778572243e-126,1.2643037984253372e-206,-1.107795304042533e-47,0,pressure_servo_20250708_145013.db3_export,0.05
5.386,-9.24564823701867e-84,5.032465126467495e-55,2.5439273128972783e-129,3.902506219784872e-169,-5.297111387225414e-127,3.93843704226998e-90,0,pressure_servo_20250708_145013.db3_export,0.05
5.436,-1.5243496909783822e-83,4.1308989298090295e-56,4.194227071888764e-129,1.7489819472136176e-168,-6.453202748404721e-126,5.0338931624505154e-18,0,pressure_servo_20250708_145013.db3_export,0.05
5.486,-9.24564823701867e-84,8.467552194410254e-120,2.5439273128972783e-129,2.8835837384416203e-168,-5.440922063745118e-56,6.132537305037993e-17,0,pressure_servo_20250708_145013.db3_export,0.05
5.536,-2.062982971802024e-84,-1.1223975570090848e-120,5.676269087327346e-130,5.365146956455848e-06,-6.628400018223318e-55,2.7484125413429223e-16,0,pressure_servo_20250708_145013.db3_export,0.05
5.586,-1.6933995440149577e-85,-8.20052996949026e-120,4.659365402221443e-131,6.536087039531e-05,-2.970642791550006e-54,4.531366217571071e-16,0,pressure_servo_20250708_145013.db3_export,0.05
5.636,3.09705391991546e-147,-1.3520388191712466e-119,1.915586377298077e-194,0.0002929270984784,-4.897761958080504e-54,2.7484125413429223e-16,0,pressure_servo_20250708_145013.db3_export,0.05
5.686,1.3880032703132777e-146,-8.20052996949026e-120,-7.036052131674268e-111,0.0004829551380258,-2.970642791550006e-54,6.132537305037993e-17,0,pressure_servo_20250708_145013.db3_export,0.05
5.736,2.288430515566841e-146,7.744097588270485e-71,-8.571666260131658e-110,0.0002929270984784,-6.628400018223318e-55,5.0338931624505154e-18,0,pressure_servo_20250708_145013.db3_export,0.05
5.786,1.3880032703132777e-146,9.434242210020351e-70,-3.84155429926176e-109,6.536087039531e-05,-5.440922063745118e-56,1.110818731812014e-117,0,pressure_servo_20250708_145013.db3_export,0.05
5.836,3.09705391991546e-147,4.228134019957024e-69,-6.333652285742388e-109,5.365146956455848e-06,5.34386664345975e-187,2.418996718524173e-118,0,pressure_servo_20250708_145013.db3_export,0.05
5.886,2.5422166675440092e-148,6.971014494073982e-69,-3.8415542992617513e-109,3.5562043525749785e-100,3.2412189588337585e-187,-5.223172719558303e-119,0,pressure_servo_20250708_145013.db3_export,0.05
5.936,-2.189976817948949e-182,4.228134019957024e-69,-8.571666260131509e-110,5.770792381924094e-90,7.23213705209649e-188,-3.25267914969514e-118,0,pressure_servo_20250708_145013.db3_export,0.05
5.986,-2.6679379358743693e-181,9.434242210020351e-70,-7.036052131673145e-111,7.030264333868431e-89,5.936499598970268e-189,-5.362761300865184e-118,0,pressure_servo_20250708_145013.db3_export,0.05
6.036,-1.1956868287548458e-180,7.744097588270485e-71,1.1945911983405527e-123,3.1507458826664495e-88,-1.3358511064488047e-138,-3.25267914969514e-118,0,pressure_servo_20250708_145013.db3_export,0.05
6.086,-1.9713543076640962e-180,6.505678291465611e-98,1.6540863300376288e-123,3.3354983655347756e-35,-1.6273998036711618e-137,-7.257708195829354e-119,0,pressure_servo_20250708_145013.db3_export,0.05
6.136,-1.1956868287548458e-180,-1.975732182889098e-95,9.932288310314375e-124,4.0767576724074345e-34,-7.293499913183354e-137,-5.9574896726731135e-120,0,pressure_servo_20250708_145013.db3_export,0.05
6.186,-2.6679379358743693e-181,-2.4679675653930584e-94,2.2161930813208246e-124,1.8373094781982912e-33,-1.2024948444714939e-136,2.672156316148984e-185,0,pressure_servo_20250708_145013.db3_export,0.05
6.236,-2.189976808578936e-182,2.4853087793690105e+33,1.8191620603051392e-125,3.075074349231481e-33,-7.293499913183354e-137,3.2552595576080087e-184,0,pressure_servo_20250708_145013.db3_export,0.05
6.286,1.1415012648319271e-189,3.027725919514629e+34,5.177814587858437e-179,1.940742394425079e-33,-1.6273998036711618e-137,8.565837056347198e-183,0,pressure_servo_20250708_145013.db3_export,0.05
6.336,3.797910352665953e-34,1.356932616146798e+35,5.746906916550543e+48,4.7890129294191986e-34,-1.3358511064488047e-138,8.898562542602556e-182,0,pressure_servo_20250708_145013.db3_export,0.05
6.386,4.6268019934646175e-33,2.237203667147998e+35,7.0011658803602e+49,4.954405988588811e-35,-4.4261752209405605e-159,3.894850041555939e-181,0,pressure_servo_20250708_145013.db3_export,0.05
6.436,2.0735887924728748e-32,1.356932616146798e+35,3.137704860563409e+50,1.3288803001061013e-36,-2.928183067881928e-159,6.400724401567377e-181,0,pressure_servo_20250708_145013.db3_export,0.05
6.486,3.418769948835423e-32,3.027725919514629e+34,5.173200744790072e+50,1.989221686169348e-129,-4.611918940923218e-153,3.8805284150323523e-181,0,pressure_servo_20250708_145013.db3_export,0.05
6.536,2.0735887924728748e-32,2.4853087793690105e+33,3.137704860563409e+50,-2.4327940860914312e-108,-5.61846666361241e-152,8.658033055422472e-182,0,pressure_servo_20250708_145013.db3_export,0.05
6.586,4.6268019934646175e-33,2.208499437921811e-137,7.0011658803602e+49,-2.9637499261443987e-107,2.2270959898078534e-140,7.106946314400238e-183,0,pressure_servo_20250708_145013.db3_export,0.05
6.636,3.797910352665953e-34,3.6411999996309673e-137,5.746906916550543e+48,-1.3282605651216598e-106,4.760602640402321e-103,-1.2262914790755087e-225,0,pressure_servo_20250708_145013.db3_export,0.05
6.686,3.1604073112331268e-189,2.208499437921811e-137,3.4602239942881573e-131,-1.5312716343004194e-61,-4.363699279551216e-91,-3.6764273201339775e-76,0,pressure_servo_20250708_145013.db3_export,0.05
