t_sec,angular_x,angular_y,angular_z,linear_x,linear_y,linear_z,imputed,trial_id,smoothed_sigma_s
4.236,1.5963549863904656,1.0305050426999796e+34,1.313958550897601,-5.524890900596234e+22,-1.5527117738039986,-2.416522285726009e+26,0,pressure_servo_20250708_145013.db3_export,0.05
4.286,1.5856870136926051,2.6132981426037257e+34,1.309192346300072,2400440161.450691,-1.557047866965226,-2.943926815176246e+27,1,pressure_servo_20250708_145013.db3_export,0.05
4.336,1.563269591563983,3.0817430130934926e+34,1.299261473696821,31643787931.353813,-1.5661152994957506,-1.319376463145053e+28,0,pressure_servo_20250708_145013.db3_export,0.05
4.386,1.5299543030761478,1.5948105389475446e+34,1.2847565127741032,160302939850.37296,-1.5793998270702423,-2.1752840388483525e+28,0,pressure_servo_20250708_145013.db3_export,0.05
4.436,1.5025261340347733,3.333147090752933e+33,1.273602154554652,-1.1145602568463276e+28,-1.58968261531079,-1.319376463145053e+28,0,pressure_servo_20250708_145013.db3_export,0.05
4.486,1.480659509954775,2.628312962423728e+32,1.2670037763544366,-1.35781235978705e+29,-1.5957952866864251,-2.943926815176246e+27,0,pressure_servo_20250708_145013.db3_export,0.05
4.536,1.4506580353506282,0.3290532415524359,1.2598713703650095,-6.085292812427558e+29,-1.602243514115247,-2.416522285726009e+26,0,pressure_servo_20250708_145013.db3_export,0.05
4.586,1.418235523029049,-3.972083123435816e-10,1.2517193650545722,-1.003295169828792e+30,-1.6089073020925286,-3.9379805548167854e-10,0,pressure_servo_20250708_145013.db3_export,0.05
4.636,1.3957884640268163,-793813412.9896941,1.2448732047344453,-6.085292812427558e+29,-1.6135123240769556,-2.9698610527194914e-11,0,pressure_servo_20250708_145013.db3_export,0.05
4.686,1.3831177247864612,-9670627109.67236,1.2402763401533865,-1.35781235978705e+29,-1.6162746224209468,2.1298809441235857e-12,0,pressure_servo_20250708_145013.db3_export,0.05
4.736,1.3740144580531162,-43340743820.73361,1.2372530018179908,-1.1145602568463276e+28,-1.6182089063475336,9.613080446041174e-12,0,pressure_servo_20250708_145013.db3_export,0.05
4.786,1.3653208065414275,-71456806225.20865,1.2350675918760583,5.067668619748581e-17,-1.6197005793774308,1.6199357182675255e-11,0,pressure_servo_20250708_145013.db3_export,0.05
4.836,1.3583667738177312,-241813000173.434,1.2336195311912606,-895644080939458.0,-1.6207566187072049,1.0634478212627983e-11,0,pressure_servo_20250708_145013.db3_export,0.05
4.886,1.353508095435779,-2427557691493.637,1.2327015578690426,-1.0911178615837506e+16,-1.6215147763792297,-1.0917307442347235e+25,0,pressure_servo_20250708_145013.db3_export,0.05
4.936,1.3482173567152012,-10837011843174.393,1.231753211083933,-4.890051002413134e+16,-1.6223973865893149,-1.4391733942588556e+26,0,pressure_servo_20250708_145013.db3_export,0.05
4.986,1.3423715702886827,-17865903159611.86,1.230713233311897,-8.0623311432507e+16,-1.623382696497228,-7.290648216787749e+26,0,pressure_servo_20250708_145013.db3_export,0.05
5.036,1.3377278938356236,-10836218029761.402,1.2298817300001348,-2.5882945882186093e+31,-1.6241431257598156,-1.578809487181172e+27,0,pressure_servo_20250708_145013.db3_export,0.05
5.086,1.3344816887777826,-2521999574614.5864,1.229334964517634,-3.153188318949464e+32,-1.6246529879078289,-1.578809487181172e+27,0,pressure_servo_20250708_145013.db3_export,0.05
5.136,1.3308550402771144,-2.731388467286018e+22,1.2287601171749944,-1.4131609625753464e+33,-1.6251492777287029,-7.290641864072369e+26,0,pressure_servo_20250708_145013.db3_export,0.05
5.186,1.3264133952550534,-3.327512350582851e+23,1.2280103835969265,-2.329908537921041e+33,-1.6256231309152636,-1.4390960023421929e+26,0,pressure_servo_20250708_145013.db3_export,0.05
5.236,1.3218876350288855,-1.491287573286105e+24,1.227205625169281,-1.4131609625753464e+33,-1.6260202402967607,-1.0882622791715294e+25,0,pressure_servo_20250708_145013.db3_export,0.05
5.286,1.3177984114563268,-2.4587175427978107e+24,1.2264710514066004,-3.153188318949464e+32,-1.6263612057672847,5.718532088229394e+22,0,pressure_servo_20250708_145013.db3_export,0.05
5.336,1.3146338080911937,-1.4912875732780016e+24,1.2258942306335157,-2.5882945752069174e+31,-1.6266178877824815,3.46846494424013e+22,0,pressure_servo_20250708_145013.db3_export,0.05
5.386,1.312129318377993,-3.327512350527049e+23,1.2254205866958734,1.585147968278659e+24,-1.626808319334564,7.73919002450771e+21,0,pressure_servo_20250708_145013.db3_export,0.05
5.436,1.3090069242448228,2.1228140961533093e+35,1.2248157683394698,7.104140324303054e+24,-1.6270351548665547,6.352702392250971e+20,0,pressure_servo_20250708_145013.db3_export,0.05
5.486,1.3052683052674408,2.586116905572665e+36,1.2240871676812,1.1712747262716677e+25,-1.6273034810899747,1.387645658659174e+23,0,pressure_servo_20250708_145013.db3_export,0.05
5.536,1.301588100671652,1.1590171130439375e+37,1.223359014638937,7.104140324299416e+24,-1.627559478577737,1.829263058778776e+24,0,pressure_servo_20250708_145013.db3_export,0.05
5.586,1.2982757175879325,1.9108957843242945e+37,1.2226788487042943,1.58514796826023e+24,-1.6277714800593457,9.266787176126004e+24,0,pressure_servo_20250708_145013.db3_export,0.05
5.636,1.2956846573237752,1.159015995404248e+37,1.2221234807343648,1.3011686875492138e+23,-1.6279200148549886,2.006747762426382e+25,0,pressure_servo_20250708_145013.db3_export,0.05
5.686,1.2936472162319317,2.5861046946674023e+36,1.2216716987982843,-39908276360520.08,-1.628025632365477,2.0067480448717045e+25,0,pressure_servo_20250708_145013.db3_export,0.05
5.736,1.2910788808350169,2.1227573789754783e+35,1.2210893290326597,-18428898878887.367,-1.6281492211702229,9.266793103773912e+24,0,pressure_servo_20250708_145013.db3_export,0.05
5.786,1.2880106415267387,-1.109372385346476e+30,1.2203786120562086,-3637863213713.976,-1.6282857273191695,1.8292666945719367e+24,0,pressure_servo_20250708_145013.db3_export,0.05
5.836,1.2854423061298237,-7.799125422476193e+28,1.219766672176951,-275961682558.57434,-1.6283873520003256,1.3876537765808084e+23,0,pressure_servo_20250708_145013.db3_export,0.05
5.886,1.283407053393008,1.571907849291275e+27,1.2192610683236886,1.00025789511381e-08,-1.628452541310973,6.6589874820226136e+16,0,pressure_servo_20250708_145013.db3_export,0.05
5.936,1.2808601590625244,1.2903005364706598e+26,1.2186149268385005,6.504287384831443e-09,-1.6285241536713717,148119177.35400274,0,pressure_servo_20250708_145013.db3_export,0.05
5.986,1.2778849033623187,5587735575385588.0,1.2178551247390117,2.355359231645582e-09,-1.6286041042711976,148119203.68766296,0,pressure_servo_20250708_145013.db3_export,0.05
6.036,1.2753955012031686,1.2100815839571666e+16,1.2172067250065943,-1.3636850910471842e+16,-1.6286615982600494,-3.607499630506523e+17,0,pressure_servo_20250708_145013.db3_export,0.05
6.086,1.273406762128824,1.2100908098795766e+16,1.2166851968924004,-1.661308538598369e+17,-1.628704911167085,-4.394834247008338e+18,0,pressure_servo_20250708_145013.db3_export,0.05
6.136,1.2708693594316511,5587982782321108.0,1.216013924771416,-7.445468319895613e+17,-1.628755805728997,-1.969628061082417e+19,0,pressure_servo_20250708_145013.db3_export,0.05
6.186,1.2677893210516185,1103067708937529.4,1.2151742219790875,-2.858331007735244e+27,-1.6287991164831293,2.779417651092862e+35,0,pressure_servo_20250708_145013.db3_export,0.05
6.236,1.2651618656386845,83676708840117.52,1.2144419962395805,-3.76799312317237e+28,-1.628824278341361,3.663965639980429e+36,0,pressure_servo_20250708_145013.db3_export,0.05
6.286,1.2633132238172786,-89.39763354446129,1.2139254944559252,-1.937395163688405e+29,-1.6288409868161458,1.8561130200245127e+37,0,pressure_servo_20250708_145013.db3_export,0.05
6.336,1.2616632401538568,-41.28216246975084,1.2134654326381191,-4.481799428753361e+29,-1.628856555582316,4.019462818153381e+37,0,pressure_servo_20250708_145013.db3_export,0.05
6.386,1.2599112784729718,3.189174447640828e+29,1.2129655827063062,-5.722762584601024e+29,-1.6288646744174171,4.019430166433529e+37,0,pressure_servo_20250708_145013.db3_export,0.05
6.436,1.2575036650773508,4.204127289565506e+30,1.212263177732268,-4.858598696908036e+29,-1.628864373846642,1.8556763145982369e+37,0,pressure_servo_20250708_145013.db3_export,0.05
6.486,1.2546629890023224,2.129751247929716e+31,1.2114352308567051,-3.846206496184225e+29,-1.628862467964785,3.6416285389606623e+36,0,pressure_servo_20250708_145013.db3_export,0.05
6.536,1.2521333579988116,4.612033780381946e+31,1.2107362294596624,-4.51037833340866e+29,-1.628861495516329,2.27778686427361e+35,0,pressure_servo_20250708_145013.db3_export,0.05
6.586,1.2493701901153664,4.612034515101909e+31,1.2101310221964898,-4.162146388859587e+29,-1.628848919849187,-5.88113879830964e+34,0,pressure_servo_20250708_145013.db3_export,0.05
6.636,1.2448171137642103,2.1297532165986745e+31,1.2093150306013214,-1.9087686153789963e+29,-1.628814921898208,-4.551337839496345e+34,0,pressure_servo_20250708_145013.db3_export,0.05
6.686,1.2390026088354196,4.204147113334439e+30,1.2083611546383912,-3.7675625359500857e+28,-1.628773532538684,-2.770925198228582e+34,0,pressure_servo_20250708_145013.db3_export,0.05
6.736,1.2340018367262722,3.189265742373704e+29,1.2075767818098788,-2.856344339283136e+27,-1.6287405118496403,-1.1105684169562827e+34,0,pressure_servo_20250708_145013.db3_export,0.05
6.786,1.230031898220312,1.5052378673092143e+24,1.206942024302056,3.921018370827221e+23,-1.628699626187289,-2.12668928435346e+33,0,pressure_servo_20250708_145013.db3_export,0.05
6.836,1.2250708632197678,-1.2155385616393245e+24,1.2061304235760613,2.974413174408144e+22,-1.6286340582465368,-1.6132677858380563e+32,0,pressure_servo_20250708_145013.db3_export,0.05
6.886,1.2191985269286318,-2.2300899239634973e+24,1.2051782517247729,1.6260616554025381e-12,-1.6285627655828905,-1.1195094680797536e+30,0,pressure_servo_20250708_145013.db3_export,0.05
6.936,1.2142503531427544,-1.3526179128006195e+24,1.2043738623491007,1.195958651151773e-13,-1.6285011589264908,-1.475792679549934e+31,0,pressure_servo_20250708_145013.db3_export,0.05
6.986,1.2105708223122056,-3.0180985150342307e+23,1.2037668786534643,-3.8904822984167045e-15,-1.6284487945748396,-7.476156320290392e+31,0,pressure_servo_20250708_145013.db3_export,0.05
7.036,1.2070481335985948,-2.477406124562397e+22,1.2031812717625705,-2.7567860880857235e+21,-1.6283953295657323,-1.6189817661130704e+32,0,pressure_servo_20250708_145013.db3_export,0.05
7.086,1.2034248396424183,4.808263102277065e+35,1.20257973199878,-3.358452986905569e+22,-1.628340935098263,-1.61898176611318e+32,0,pressure_servo_20250708_145013.db3_export,0.05
7.136,1.1987511701453752,6.338489930724076e+36,1.2018020012943536,-1.5051542044658916e+23,-1.6282694202492851,-7.476156320292688e+31,0,pressure_servo_20250708_145013.db3_export,0.05
7.186,1.1934394043091263,3.2109890646191844e+37,1.2009043162692132,-2.481579752586645e+23,-1.628177899092276,-1.4757926795476307e+31,0,pressure_servo_20250708_145013.db3_export,0.05
