t_sec,data_0,data_1,data_2,imputed,trial_id,smoothed_sigma_s
5.636,457.0908366347867,951.3589134909712,363.00443304817526,0,pressure_servo_20250708_145013.db3_export,0.05
5.686,456.0157179197432,951.5314358394864,363.5314358394864,1,pressure_servo_20250708_145013.db3_export,0.05
5.736,455.0022165240876,951.821651516558,364.1783484834419,0,pressure_servo_20250708_145013.db3_export,0.05
5.786,454.0157179197432,951.9528462407704,364.9842820802568,1,pressure_servo_20250708_145013.db3_export,0.05
5.836,453.0908366347866,951.9069468411255,365.7341396679028,0,pressure_servo_20250708_145013.db3_export,0.05
5.886,452.2657179197432,951.7342820802568,366.2657179197432,1,pressure_servo_20250708_145013.db3_export,0.05
5.936,451.4988917379562,951.5022165240875,366.85558870483993,0,pressure_servo_20250708_145013.db3_export,0.05
5.986,450.7185641605136,951.2971537592296,367.75,1,pressure_servo_20250708_145013.db3_export,0.05
6.036,449.8205432545142,951.2680768561848,368.6433030331161,0,pressure_servo_20250708_145013.db3_export,0.05
6.086,448.75,951.4842820802568,369.2185641605136,1,pressure_servo_20250708_145013.db3_export,0.05
6.136,447.6827815316172,951.6421947710724,369.6739154352666,0,pressure_servo_20250708_145013.db3_export,0.05
6.186,446.82858959871606,951.4685641605134,370.2342820802568,1,pressure_servo_20250708_145013.db3_export,0.05
6.236,446.2714016423161,951.177240221398,370.7341396679028,0,pressure_servo_20250708_145013.db3_export,0.05
6.286,446.0,951.0314358394864,371.0157179197432,1,pressure_servo_20250708_145013.db3_export,0.05
6.336,445.7308148817714,951.0044330481752,371.3600217530152,0,pressure_servo_20250708_145013.db3_export,0.05
6.386,445.2028462407703,951.0314358394864,372.0628716789729,1,pressure_servo_20250708_145013.db3_export,0.05
6.436,444.49889173795617,951.177240221398,373.00886609635046,0,pressure_servo_20250708_145013.db3_export,0.05
6.486,443.7814358394864,951.4685641605136,374.0628716789728,1,pressure_servo_20250708_145013.db3_export,0.05
6.536,443.1794567454856,951.6410865090284,375.35669696688376,0,pressure_servo_20250708_145013.db3_export,0.05
6.586,442.75,951.4685641605134,376.9685641605136,1,pressure_servo_20250708_145013.db3_export,0.05
6.636,442.322759778602,951.1783484834418,378.4627380255866,0,pressure_servo_20250708_145013.db3_export,0.05
6.686,441.75,951.0471537592296,379.4528462407703,1,pressure_servo_20250708_145013.db3_export,0.05
6.736,441.17945674548565,951.0908366347866,380.26586033209713,0,pressure_servo_20250708_145013.db3_export,0.05
6.786,440.7814358394865,951.2342820802568,381.2971537592297,1,pressure_servo_20250708_145013.db3_export,0.05
6.836,440.5033247861315,951.3205432545142,382.5,0,pressure_servo_20250708_145013.db3_export,0.05
6.886,440.2657179197432,951.2342820802568,383.7028462407703,1,pressure_servo_20250708_145013.db3_export,0.05
6.936,440.088620110699,951.0886201106988,384.7252735715524,0,pressure_servo_20250708_145013.db3_export,0.05
6.986,439.9842820802568,951.0157179197432,385.4214104012839,1,pressure_servo_20250708_145013.db3_export,0.05
7.036,439.821651516558,951.0011082620438,385.82165151655806,0,pressure_servo_20250708_145013.db3_export,0.05
7.086,439.5,951.0,386.06287167897295,1,pressure_servo_20250708_145013.db3_export,0.05
7.136,439.1783484834418,951.0011082620435,386.53726197441335,0,pressure_servo_20250708_145013.db3_export,0.05
7.186,439.0157179197432,951.0157179197432,387.5157179197432,1,pressure_servo_20250708_145013.db3_export,0.05
7.236,438.9113798893009,951.0886201106988,388.5480333501543,0,pressure_servo_20250708_145013.db3_export,0.05
7.286,438.7342820802567,951.2342820802568,389.108538722311,1,pressure_servo_20250708_145013.db3_export,0.05
7.336,438.5,951.3183267304264,389.1277873645028,0,pressure_servo_20250708_145013.db3_export,0.05
7.386,438.2657179197432,951.2028462407702,388.6399745617974,1,pressure_servo_20250708_145013.db3_export,0.05
7.436,438.0908366347867,950.9113798893007,387.71973226133326,0,pressure_servo_20250708_145013.db3_export,0.05
7.486,438.0157179197432,950.5471537592296,386.4056924815406,1,pressure_servo_20250708_145013.db3_export,0.05
7.536,438.0011082620438,950.3600217530152,384.73303140585904,0,pressure_servo_20250708_145013.db3_export,0.05
7.586,438.0,950.5314358394864,382.8285895987161,1,pressure_servo_20250708_145013.db3_export,0.05
7.636,438.0022165240876,950.8249763026896,381.2244765542057,0,pressure_servo_20250708_145013.db3_export,0.05
7.686,438.0314358394865,951.0,380.391461277689,1,pressure_servo_20250708_145013.db3_export,0.05
